Date,NSW,Vic,Qld,WA,zeroline 
Jun-12,57.23,56.17,46.54,50.78,0
Sep-12,59.66,58.55,48.16,51.95,0
Dec-12,63.14,58.75,47.26,49.97,0
Mar-13,65.94,59.26,45.36,46.48,0
Jun-13,66.76,59.03,41.83,42.14,0
Sep-13,68.86,59.51,37.24,35.35,0
Dec-13,67.58,58.5,33.46,29.06,0
Mar-14,68.68,59.18,30.97,23.87,0
Jun-14,66.99,56.91,27.22,18.75,0
Sep-14,67.67,57.64,24.7,16.39,0
Dec-14,68.35,58.39,23.03,15.51,0
Mar-15,69.44,58.93,21.26,13.99,0
Jun-15,70.31,60.69,20.43,14.07,0
Sep-15,71.48,61.96,19.29,13.44,0
Dec-15,72.84,64.19,19.48,12.74,0
Mar-16,76,68.88,21.38,12.48,0
Jun-16,80.01,72.22,24.95,11.62,0
Sep-16,89.66,78.59,29.71,12.12,0
Dec-16,96.2,82.91,32.43,11.96,0
Mar-17,103.2,89.91,33.92,11.74,0
Jun-17,105.5,91.24,34.08,12.01,0
Sep-17,103.51,91.29,31.76,11.93,0
Dec-17,94.93,87.13,27.64,11.7,0
Mar-18,92.16,86.3,27.6,11.29,0
Jun-18,90.65,86.97,27.74,11.98,0
Sep-18,90.06,87.98,30.3,12.62,0
Dec-18,92.89,89.54,33.74,14.55,0
Mar-19,89.57,89.09,33.69,16.45,0
Jun-19,84.54,85.48,31.75,17.48,0
Sep-19,80.29,85.83,32.59,21.02,0
Dec-19,79.28,85.06,33.92,25.51,0
Mar-20,73.83,75.96,35.09,28.86,0
Jun-20,57.89,60.57,27.97,25.17,0
Sep-20,24.44,14.04,10.73,14.97,0
Dec-20,6.94,-20.37,-1.02,5.19,0
Mar-21,-15.38,-51.66,-15.19,-5.43,0
Jun-21,-7.33,-52.99,-12.86,-5.07,0
Sep-21,-3.29,-37.6,-7.53,-3.52,0
Dec-21,11.16,-6.99,-2.15,-2.17,0
Mar-22,46.25,35.58,13.81,3.59,0
Jun-22,62.21,55.63,23.43,9.5,0